paper_id,published,year,month,corpus_group,primary_theme,secondary_tags,title,authors,hf_papers_available,arxiv_url,local_pdf
2301.08243,2023-01-19T18:59:01Z,2023,2023-01,core,vision_perception_ssl,language;generative_bridge,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,Mahmoud Assran; Quentin Duval; Ishan Misra; Piotr Bojanowski; Pascal Vincent; Michael Rabbat; Yann LeCun; Nicolas Ballas,True,https://arxiv.org/abs/2301.08243,/root/workspace/jepa/pdfs/2301.08243.pdf
2307.12698,2023-07-24T11:27:14Z,2023,2023-07,core,video_temporal,video;benchmarking,MC-JEPA: A Joint-Embedding Predictive Architecture for Self-Supervised Learning of Motion and Content Features,Adrien Bardes; Jean Ponce; Yann LeCun,True,https://arxiv.org/abs/2307.12698,/root/workspace/jepa/pdfs/2307.12698.pdf
2311.15830,2023-11-27T13:53:53Z,2023,2023-11,core,audio_speech,audio;language,A-JEPA: Joint-Embedding Predictive Architecture Can Listen,Zhengcong Fei; Mingyuan Fan; Junshi Huang,True,https://arxiv.org/abs/2311.15830,/root/workspace/jepa/pdfs/2311.15830.pdf
2404.08471,2024-02-15T18:59:11Z,2024,2024-02,adjacent,benchmarks_surveys_critiques,video;language;benchmarking,Revisiting Feature Prediction for Learning Visual Representations from Video,Adrien Bardes; Quentin Garrido; Jean Ponce; Xinlei Chen; Michael Rabbat; Yann LeCun; Mahmoud Assran; Nicolas Ballas,True,https://arxiv.org/abs/2404.08471,/root/workspace/jepa/pdfs/2404.08471.pdf
2407.10311,2024-05-06T18:18:13Z,2024,2024-05,core,benchmarks_surveys_critiques,theory;video;language;world_model;benchmarking,Sora and V-JEPA Have Not Learned The Complete Real World Model -- A Philosophical Analysis of Video AIs Through the Theory of Productive Imagination,Jianqiu Zhang,False,https://arxiv.org/abs/2407.10311,/root/workspace/jepa/pdfs/2407.10311.pdf
2406.09294,2024-06-13T16:30:03Z,2024,2024-06,adjacent,vision_perception_ssl,generative_bridge,You Don't Need Domain-Specific Data Augmentations When Scaling Self-Supervised Learning,Théo Moutakanni; Maxime Oquab; Marc Szafraniec; Maria Vakalopoulou; Piotr Bojanowski,True,https://arxiv.org/abs/2406.09294,/root/workspace/jepa/pdfs/2406.09294.pdf
2408.07514,2024-08-14T12:48:37Z,2024,2024-08,core,vision_perception_ssl,benchmarking,CNN-JEPA: Self-Supervised Pretraining Convolutional Neural Networks Using Joint Embedding Predictive Architecture,András Kalapos; Bálint Gyires-Tóth,True,https://arxiv.org/abs/2408.07514,/root/workspace/jepa/pdfs/2408.07514.pdf
2408.11318,2024-08-21T03:56:27Z,2024,2024-08,adjacent,benchmarks_surveys_critiques,video;language;benchmarking,TWLV-I: Analysis and Insights from Holistic Evaluation on Video Foundation Models,Hyeongmin Lee; Jin-Young Kim; Kyungjune Baek; Jihwan Kim; Hyojun Go; Seongsu Ha; Seokjin Han; Jiho Jang; Raehyuk Jung; Daewoo Kim; GeunOh Kim; JongMok Kim; Jongseok Kim; Junwan Kim; Soonwoo Kwon; Jangwon Lee; Seungjoon Park; Minjoon Seo; Jay Suh; Jaehyuk Yi; Aiden Lee,True,https://arxiv.org/abs/2408.11318,/root/workspace/jepa/pdfs/2408.11318.pdf
2409.05929,2024-09-09T10:40:50Z,2024,2024-09,core,multimodal_vlm_vla,language;multimodal;world_model,M3-JEPA: Multimodal Alignment via Multi-gate MoE based on the Joint-Embedding Predictive Architecture,Hongyang Lei; Xiaolong Cheng; Qi Qin; Dan Wang; Kun Fan; Huazhen Huang; Qingqing Gu; Yetao Wu; Zhonglin Jiang; Yong Chen; Luo Ji,True,https://arxiv.org/abs/2409.05929,/root/workspace/jepa/pdfs/2409.05929.pdf
2410.03755,2024-10-02T05:57:10Z,2024,2024-10,core,vision_perception_ssl,video;audio;language;generative_bridge;benchmarking,Denoising with a Joint-Embedding Predictive Architecture,Dengsheng Chen; Jie Hu; Xiaoming Wei; Enhua Wu,True,https://arxiv.org/abs/2410.03755,/root/workspace/jepa/pdfs/2410.03755.pdf
