theme,description,count_total,count_core,count_adjacent,first_appearance,first_paper_id,first_paper_title,count_2023,count_2024,count_2025,count_2026
vision_perception_ssl,Core visual/perceptual JEPA work and generic representation learning papers that do not fit a more specific vertical.,45,21,24,2023-01-19,2301.08243,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,1,5,20,19
video_temporal,"Video, motion, temporal prediction and spatiotemporal JEPA work.",15,4,11,2023-07-24,2307.12698,MC-JEPA: A Joint-Embedding Predictive Architecture for Self-Supervised Learning of Motion and Content Features,1,1,7,6
audio_speech,Speech and audio representation learning with JEPA objectives.,5,2,3,2023-11-27,2311.15830,A-JEPA: Joint-Embedding Predictive Architecture Can Listen,1,0,3,1
multimodal_vlm_vla,"Multimodal, vision-language and vision-language-action JEPA extensions.",13,8,5,2024-09-09,2409.05929,M3-JEPA: Multimodal Alignment via Multi-gate MoE based on the Joint-Embedding Predictive Architecture,0,1,6,6
language_reasoning,"Language, latent reasoning and token-generation decoupling work.",12,7,5,2024-11-22,2411.14808,High-Resolution Image Synthesis via Next-Token Prediction,0,1,4,7
world_models_planning_control,"World models, planning, control, robotics, RL and embodied decision-making.",21,9,12,2025-01-24,2501.14622,ACT-JEPA: Novel Joint-Embedding Predictive Architecture for Efficient Policy Representation Learning,0,0,9,12
foundations_theory_objective,"Objective design, theory, regularization and fundamental training recipes for JEPA.",20,9,11,2024-10-25,2410.19560,Connecting Joint-Embedding Predictive Architecture with Contrastive Self-supervised Learning,0,1,8,11
medical_bio_health,"Clinical, biomedical, neuro, genomics and healthcare JEPA applications.",15,4,11,2025-05-25,2506.14782,Integrating Dynamical Systems Learning with Foundational Models: A Meta-Evolutionary AI Framework for Clinical Trials,0,0,6,9
scientific_industrial_domains,"Remote sensing, wireless, physics, industrial and other scientific-domain JEPA applications.",15,8,7,2024-12-05,2412.05333,Learning Symmetry-Independent Jet Representations via Jet-Based Joint Embedding Predictive Architecture,0,2,4,9
benchmarks_surveys_critiques,"Benchmarking, comparisons, ablations, evaluations and critique papers.",15,3,12,2024-02-15,2404.08471,Revisiting Feature Prediction for Learning Visual Representations from Video,0,3,8,4
