id,published,title,authors,categories,hf_papers_available,hf_papers_url,abs_url,pdf_url,local_pdf,matched_queries
2604.21046,2026-04-22T19:44:41Z,JEPAMatch: Geometric Representation Shaping for Semi-Supervised Learning,Ali Aghababaei-Harandi; Aude Sportisse; Massih-Reza Amini,cs.LG,False,https://huggingface.co/papers/2604.21046,https://arxiv.org/abs/2604.21046,https://arxiv.org/pdf/2604.21046v1,/root/workspace/jepa/pdfs/2604.21046.pdf,"all:""Joint Embedding Predictive Architecture""; all:""Joint-Embedding Predictive Architecture""; all:""LeJEPA"""
2604.17651,2026-04-19T22:50:32Z,Infrastructure-Centric World Models: Bridging Temporal Depth and Spatial Breadth for Roadside Perception,Siyuan Meng; Chengbo Ai,cs.CV; cs.RO,False,https://huggingface.co/papers/2604.17651,https://arxiv.org/abs/2604.17651,https://arxiv.org/pdf/2604.17651v1,/root/workspace/jepa/pdfs/2604.17651.pdf,"all:""JEPA"""
2604.17228,2026-04-19T03:20:40Z,Revisiting Auxiliary Losses for Conditional Depth Routing: An Empirical Study,Qingwei Lin,cs.LG,False,https://huggingface.co/papers/2604.17228,https://arxiv.org/abs/2604.17228,https://arxiv.org/pdf/2604.17228v1,/root/workspace/jepa/pdfs/2604.17228.pdf,"all:""JEPA"""
2604.16585,2026-04-17T15:12:15Z,The Global Neural World Model: Spatially Grounded Discrete Topologies for Action-Conditioned Planning,Noureddine Kermiche,cs.LG; cs.AI,False,https://huggingface.co/papers/2604.16585,https://arxiv.org/abs/2604.16585,https://arxiv.org/pdf/2604.16585v1,/root/workspace/jepa/pdfs/2604.16585.pdf,"all:""JEPA""; all:""Joint Embedding Predictive Architecture""; all:""Joint-Embedding Predictive Architecture"""
2604.16086,2026-04-17T14:15:12Z,Stylistic-STORM (ST-STORM) : Perceiving the Semantic Nature of Appearance,Hamed Ouattara; Pierre Duthon; Pascal Houssam Salmane; Frédéric Bernardin; Omar Ait Aider,cs.CV; cs.AI; cs.LG; stat.ML,False,https://huggingface.co/papers/2604.16086,https://arxiv.org/abs/2604.16086,https://arxiv.org/pdf/2604.16086v1,/root/workspace/jepa/pdfs/2604.16086.pdf,"all:""JEPA"""
2604.13518,2026-04-15T06:04:45Z,From Alignment to Prediction: A Study of Self-Supervised Learning and Predictive Representation Learning,Mintu Dutta; Ritesh Vyas; Mohendra Roy,cs.LG; cs.AI,False,https://huggingface.co/papers/2604.13518,https://arxiv.org/abs/2604.13518,https://arxiv.org/pdf/2604.13518v1,/root/workspace/jepa/pdfs/2604.13518.pdf,"all:""I-JEPA""; all:""JEPA""; all:""Joint Embedding Predictive Architecture""; all:""Joint-Embedding Predictive Architecture"""
2604.11751,2026-04-13T17:25:41Z,Grounded World Model for Semantically Generalizable Planning,Quanyi Li; Lan Feng; Haonan Zhang; Wuyang Li; Letian Wang; Alexandre Alahi; Harold Soh,cs.RO; cs.AI,False,https://huggingface.co/papers/2604.11751,https://arxiv.org/abs/2604.11751,https://arxiv.org/pdf/2604.11751v1,/root/workspace/jepa/pdfs/2604.11751.pdf,"all:""JEPA"""
2604.11364,2026-04-13T12:05:30Z,The Missing Knowledge Layer in Cognitive Architectures for AI Agents,Michaël Roynard,cs.AI,True,https://huggingface.co/papers/2604.11364,https://arxiv.org/abs/2604.11364,https://arxiv.org/pdf/2604.11364v1,/root/workspace/jepa/pdfs/2604.11364.pdf,"all:""JEPA"""
2604.10591,2026-04-12T11:47:11Z,GeoMeld: Toward Semantically Grounded Foundation Models for Remote Sensing,Maram Hasan; Md Aminur Hossain; Savitra Roy; Souparna Bhowmik; Ayush V. Patel; Mainak Singha; Subhasis Chaudhuri; Muhammad Haris Khan; Biplab Banerjee,cs.CV; cs.AI,True,https://huggingface.co/papers/2604.10591,https://arxiv.org/abs/2604.10591,https://arxiv.org/pdf/2604.10591v1,/root/workspace/jepa/pdfs/2604.10591.pdf,"all:""JEPA"""
2604.10514,2026-04-12T08:07:02Z,Data-Efficient Surgical Phase Segmentation in Small-Incision Cataract Surgery: A Controlled Study of Vision Foundation Models,Lincoln Spencer; Song Wang; Chen Chen,cs.CV; cs.AI,False,https://huggingface.co/papers/2604.10514,https://arxiv.org/abs/2604.10514,https://arxiv.org/pdf/2604.10514v1,/root/workspace/jepa/pdfs/2604.10514.pdf,"all:""V-JEPA2"""
2604.08960,2026-04-10T05:04:29Z,Efficient Hierarchical Implicit Flow Q-learning for Offline Goal-conditioned Reinforcement Learning,Zhiqiang Dong; Teng Pang; Rongjian Xu; Guoqiang Wu,cs.LG,False,https://huggingface.co/papers/2604.08960,https://arxiv.org/abs/2604.08960,https://arxiv.org/pdf/2604.08960v1,/root/workspace/jepa/pdfs/2604.08960.pdf,"all:""LeJEPA"""
