published,paper_id,title,phase,significance
2023-01-19,2301.08243,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,phase_1_foundations,Foundational image JEPA baseline; establishes the starting point for the whole literature.
2023-07-24,2307.12698,MC-JEPA: A Joint-Embedding Predictive Architecture for Self-Supervised Learning of Motion and Content Features,phase_1_foundations,First major temporal extension: JEPA for motion/content disentanglement in video.
2023-11-27,2311.15830,A-JEPA: Joint-Embedding Predictive Architecture Can Listen,phase_1_foundations,Early modality expansion from vision into audio.
2024-08-14,2408.07514,CNN-JEPA: Self-Supervised Pretraining Convolutional Neural Networks Using Joint Embedding Predictive Architecture,phase_2_diversification,Backbone diversification beyond ViT-heavy formulations into CNNs.
2024-09-09,2409.05929,M3-JEPA: Multimodal Alignment via Multi-gate MoE based on the Joint-Embedding Predictive Architecture,phase_2_diversification,Multimodal JEPA enters the literature in a dedicated form.
2024-10-02,2410.03755,Denoising with a Joint-Embedding Predictive Architecture,phase_2_diversification,Generative bridge appears via denoising-oriented JEPA framing.
2024-10-25,2410.19560,Connecting Joint-Embedding Predictive Architecture with Contrastive Self-supervised Learning,phase_2_diversification,The literature starts connecting JEPA to adjacent SSL theory such as contrastive learning.
2024-12-14,2412.10925,Video Representation Learning with Joint-Embedding Predictive Architectures,phase_2_diversification,"JEPA becomes a broader video representation-learning family, not just a single paper line."
2025-01-24,2501.14622,ACT-JEPA: Novel Joint-Embedding Predictive Architecture for Efficient Policy Representation Learning,phase_3_embodied_expansion,JEPA enters policy representation learning and RL-oriented work.
2025-05-06,2505.03176,seq-JEPA: Autoregressive Predictive Learning of Invariant-Equivariant World Models,phase_3_embodied_expansion,Autoregressive / sequential world-model direction becomes explicit.
2025-06-11,2506.09985,"V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning",phase_3_embodied_expansion,"V-JEPA 2 marks a step from representation learning toward understanding, prediction and planning."
2025-06-25,2507.02915,Audio-JEPA: Joint-Embedding Predictive Architecture for Audio Representation Learning,phase_3_embodied_expansion,Audio JEPA becomes a more explicit standalone program of work.
2025-09-11,2509.14252,LLM-JEPA: Large Language Models Meet Joint Embedding Predictive Architectures,phase_4_language_theory_multimodal,JEPA ideas move decisively into LLM territory.
2025-10-01,2510.00974,JEPA-T: Joint-Embedding Predictive Architecture with Text Fusion for Image Generation,phase_4_language_theory_multimodal,Image-generation bridge appears through JEPA + text fusion.
2025-11-11,2511.08544,LeJEPA: Provable and Scalable Self-Supervised Learning Without the Heuristics,phase_4_language_theory_multimodal,LeJEPA consolidates the theory/recipe turn with a cleaner and more principled training story.
2025-12-11,2512.10942,VL-JEPA: Joint Embedding Predictive Architecture for Vision-language,phase_4_language_theory_multimodal,Vision-language JEPA becomes explicit rather than implicit or ad hoc.
2025-12-22,2512.19171,JEPA-Reasoner: Decoupling Latent Reasoning from Token Generation,phase_4_language_theory_multimodal,Latent reasoning is framed as a first-class JEPA research direction.
2026-02-10,2602.10098,VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,phase_5_world_models_reasoning_applications,JEPA begins to plug directly into VLA systems.
2026-02-11,2602.11389,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,phase_5_world_models_reasoning_applications,Object-centric causal/world-model JEPA becomes explicit and technically grounded.
2026-03-13,2603.19312,LeWorldModel: Stable End-to-End Joint-Embedding Predictive Architecture from Pixels,phase_5_world_models_reasoning_applications,End-to-end JEPA world models from pixels push toward unified latent world modeling.
2026-03-23,2603.22281,ThinkJEPA: Empowering Latent World Models with Large Vision-Language Reasoning Model,phase_5_world_models_reasoning_applications,JEPA starts being paired with stronger reasoning stacks for latent planning.
2026-04-22,2604.21046,JEPAMatch: Geometric Representation Shaping for Semi-Supervised Learning,phase_5_world_models_reasoning_applications,"Recent work returns to representation shaping, indicating the objective-design frontier remains open."
