paper_id,title,source,published,authors,categories,hf_papers_url,arxiv_url,local_pdf,principal_argument,methodology,main_findings,limitations_or_gaps,future_opportunities,notes
2604.21046,JEPAMatch: Geometric Representation Shaping for Semi-Supervised Learning,arxiv,2026-04-22T19:44:41Z,Ali Aghababaei-Harandi; Aude Sportisse; Massih-Reza Amini,cs.LG,https://huggingface.co/papers/2604.21046,https://arxiv.org/abs/2604.21046,/root/workspace/jepa/pdfs/2604.21046.pdf,"Semi-supervised learning can be improved by explicitly shaping latent geometry, not only by thresholded pseudo-labeling, using LeJEPA-inspired representation regularization.","Adds a latent-space regularization term derived from LeJEPA to the classical FlexMatch semi-supervised objective and evaluates the combined method on CIFAR-100, STL-10, and Tiny-ImageNet.","The method reportedly outperforms existing baselines across the tested datasets, converges faster, and reduces computational cost relative to standard FixMatch-style pipelines.",The abstract emphasizes limitations of prior FixMatch-style methods but does not specify concrete limitations of the proposed method.,Not explicitly stated in the abstract.,abstract-level synthesis
2604.17651,Infrastructure-Centric World Models: Bridging Temporal Depth and Spatial Breadth for Roadside Perception,arxiv,2026-04-19T22:50:32Z,Siyuan Meng; Chengbo Ai,cs.CV; cs.RO,https://huggingface.co/papers/2604.17651,https://arxiv.org/abs/2604.17651,/root/workspace/jepa/pdfs/2604.17651.pdf,"Infrastructure-centric world models offer a complementary alternative to ego-vehicle world models because fixed roadside systems provide persistent, multi-sensor temporal coverage.","Presents a three-phase roadmap for infrastructure-centric world models, a dual-layer architecture, a phased sensor strategy, a taxonomy of world-model paradigms, and the proposed Infrastructure VLA concept.","The paper positions infrastructure-centric modeling as a distinct opportunity, identifies open-source building blocks for each phase, and frames latent-space alignment for V2X collaboration as a key direction.",This is a vision and taxonomy paper; the abstract does not report a validated end-to-end empirical system.,"Develop the three proposed phases, collaborative V2X latent-space alignment, and the Infrastructure VLA framework.",abstract-level synthesis
2604.17228,Revisiting Auxiliary Losses for Conditional Depth Routing: An Empirical Study,arxiv,2026-04-19T03:20:40Z,Qingwei Lin,cs.LG,https://huggingface.co/papers/2604.17228,https://arxiv.org/abs/2604.17228,/root/workspace/jepa/pdfs/2604.17228.pdf,"Common auxiliary losses for conditional depth routing can be harmful under the studied setup, and the benefit of a JEPA-guided gate depends strongly on the supervision recipe.","Runs a controlled empirical comparison between an MLP gate and a JEPA-guided gate in a 157.5M-parameter decoder-only model with controller-only training, 50% full-path budget, three seeds, and ablations on auxiliary losses.","With util/rank supervision, the JEPA-guided gate improves early-to-mid optimization, but removing util/rank improves language-model loss and threshold-hit speed for both gates and cuts the training FLOPs proxy substantially.",The authors explicitly state that the conclusions are scoped to the studied regime.,The findings motivate alternative supervision strategies that better match gated execution instead of off-policy oracle labels.,abstract-level synthesis
2604.16585,The Global Neural World Model: Spatially Grounded Discrete Topologies for Action-Conditioned Planning,arxiv,2026-04-17T15:12:15Z,Noureddine Kermiche,cs.LG; cs.AI,https://huggingface.co/papers/2604.16585,https://arxiv.org/abs/2604.16585,/root/workspace/jepa/pdfs/2604.16585.pdf,"A continuous, action-conditioned JEPA with discrete spatial topology can support stable rollouts and structured planning without pixel-level reconstruction.","Introduces the Global Neural World Model, which maps environments to a discrete 2D grid using entropy-based topological quantization, translational equivariance, grid snapping, and maximum-entropy exploration via random walks.","The abstract claims the model prevents manifold drift during autoregressive rollouts and organizes continuous concepts into structured topological maps across passive, active, and abstract sequence settings.",The abstract does not describe specific failure cases or detailed benchmark comparisons beyond broad validation claims.,Not explicitly stated in the abstract.,abstract-level synthesis
2604.16086,Stylistic-STORM (ST-STORM) : Perceiving the Semantic Nature of Appearance,arxiv,2026-04-17T14:15:12Z,Hamed Ouattara; Pierre Duthon; Pascal Houssam Salmane; Frédéric Bernardin; Omar Ait Aider,cs.CV; cs.AI; cs.LG; stat.ML,https://huggingface.co/papers/2604.16086,https://arxiv.org/abs/2604.16086,/root/workspace/jepa/pdfs/2604.16086.pdf,Appearance should be treated as semantic signal rather than nuisance when tasks depend on style cues such as weather effects or clinical appearance.,"Proposes ST-STORM, a hybrid self-supervised framework with separate content and style latent streams, using a JEPA-plus-contrastive content branch and a prediction/reconstruction-based style branch under adversarial constraint.",The style branch reportedly isolates complex appearance phenomena with strong results on weather and ISIC tasks while preserving content-branch semantic performance on ImageNet-1K.,The abstract reports headline metrics but does not spell out specific limitations of the approach.,Not explicitly stated in the abstract.,abstract-level synthesis
2604.13518,From Alignment to Prediction: A Study of Self-Supervised Learning and Predictive Representation Learning,arxiv,2026-04-15T06:04:45Z,Mintu Dutta; Ritesh Vyas; Mohendra Roy,cs.LG; cs.AI,https://huggingface.co/papers/2604.13518,https://arxiv.org/abs/2604.13518,/root/workspace/jepa/pdfs/2604.13518.pdf,"Predictive Representation Learning is a distinct self-supervised paradigm centered on latent prediction of unobserved data, with JEPA as a representative example.","Defines a taxonomy spanning alignment, reconstruction, and predictive representation learning, and implements BYOL, MAE, and I-JEPA for comparative analysis.","The paper argues for PRL as a promising direction and reports that MAE achieves perfect similarity but weaker robustness, while BYOL and I-JEPA trade slightly lower reported accuracy for stronger robustness.",The abstract highlights theoretical questions and open challenges in predictive representation learning rather than detailing specific study limitations.,Further work on the theoretical perspectives and open challenges of predictive representation learning.,abstract-level synthesis
2604.11751,Grounded World Model for Semantically Generalizable Planning,arxiv,2026-04-13T17:25:41Z,Quanyi Li; Lan Feng; Haonan Zhang; Wuyang Li; Letian Wang; Alexandre Alahi; Harold Soh,cs.RO; cs.AI,https://huggingface.co/papers/2604.11751,https://arxiv.org/abs/2604.11751,/root/workspace/jepa/pdfs/2604.11751.pdf,World models grounded in a vision-language-aligned latent space can let model-predictive control use natural-language task instructions instead of goal images and improve semantic generalization.,"Learns a Grounded World Model whose predicted future outcomes are scored by embedding similarity to a task instruction, and evaluates the resulting GWM-MPC system on the WISER benchmark.","GWM-MPC achieves an 87% success rate on 288 test tasks with unseen visual signals and referring expressions, versus an average 22% success rate for traditional VLAs.",The abstract motivates the method using shortcomings of goal-image conditioning but does not identify concrete limitations of the proposed model itself.,Not explicitly stated in the abstract.,abstract-level synthesis
2604.11364,The Missing Knowledge Layer in Cognitive Architectures for AI Agents,huggingface_papers;arxiv,2026-04-13T12:05:30Z,Michaël Roynard,cs.AI,https://huggingface.co/papers/2604.11364,https://arxiv.org/abs/2604.11364,/root/workspace/jepa/pdfs/2604.11364.pdf,AI cognitive architectures need an explicit knowledge layer with its own persistence semantics; otherwise factual knowledge and episodic memory are handled incorrectly.,"Surveys persistence semantics across memory systems, identifies convergence points across prior work, proposes a four-layer decomposition, and includes companion implementations in Python and Rust.",The paper argues that current frameworks such as CoALA and JEPA lack this separation and that distinct persistence semantics are necessary for engineering implementations.,The abstract is primarily architectural and argumentative; it does not report benchmark-style empirical validation beyond feasibility demonstrations.,"Design agent systems that implement separate persistence semantics for knowledge, memory, wisdom, and intelligence.",abstract-level synthesis
2604.10591,GeoMeld: Toward Semantically Grounded Foundation Models for Remote Sensing,huggingface_papers;arxiv,2026-04-12T11:47:11Z,Maram Hasan; Md Aminur Hossain; Savitra Roy; Souparna Bhowmik; Ayush V. Patel; Mainak Singha; Subhasis Chaudhuri; Muhammad Haris Khan; Biplab Banerjee,cs.CV; cs.AI,https://huggingface.co/papers/2604.10591,https://arxiv.org/abs/2604.10591,/root/workspace/jepa/pdfs/2604.10591.pdf,"Remote-sensing foundation models need large-scale aligned multimodal data and grounded language supervision, which GeoMeld and GeoMeld-FM are intended to provide.","Builds a roughly 2.5 million-sample multimodal dataset with agentic captioning and introduces a pretraining framework combining masked autoencoding, JEPA representation learning, and caption-vision contrastive alignment.",The abstract reports consistent gains in downstream transfer and cross-sensor robustness and presents the dataset-framework pair as a scalable reference for the field.,The abstract emphasizes limitations of prior remote-sensing resources but does not specify concrete limitations of GeoMeld or GeoMeld-FM.,Extend semantically grounded multimodal foundation modeling in remote sensing using this scalable reference framework.,abstract-level synthesis
2604.10514,Data-Efficient Surgical Phase Segmentation in Small-Incision Cataract Surgery: A Controlled Study of Vision Foundation Models,arxiv,2026-04-12T08:07:02Z,Lincoln Spencer; Song Wang; Chen Chen,cs.CV; cs.AI,https://huggingface.co/papers/2604.10514,https://arxiv.org/abs/2604.10514,/root/workspace/jepa/pdfs/2604.10514.pdf,Large self-supervised vision foundation models can improve low-label surgical phase segmentation when evaluated under a controlled temporal-model setup.,Compares supervised encoders and foundation models including DINOv3 and V-JEPA2 by pairing each with the same MS-TCN++ temporal model on SICS-155 and using a cached-feature pipeline.,"Foundation-model features improve segmentation performance, with DINOv3 ViT-7B achieving the best reported results at 83.4% accuracy and an 87.0 edit score.","The abstract notes that cataract-domain transfer and lightweight adaptation can help or hurt, but it does not provide detailed failure analysis.",Not explicitly stated in the abstract.,abstract-level synthesis
